attendance,date,start_time,Stadium,weather,wind
38450,10/1/2018,12:05 PM,CHC-Wrigley Fld,"65 degrees, overcast","6 mph, R to L"
47816,10/1/2018,1:09 PM,LAD-Dodger Stad,"90 degrees, sunny","6 mph, Out to CF"
24916,9/30/2018,3:09 PM,BAL-Camden Yards,"77 degrees, sunny","1 mph, R to L"
36201,9/30/2018,3:07 PM,BOS-Fenway Pk,"68 degrees, partly cloudy","10 mph, Out to RF"
39275,9/30/2018,2:22 PM,CHC-Wrigley Fld,"60 degrees, cloudy","2 mph, Varies"
25091,9/30/2018,3:10 PM,CIN-GreatAmer BP,"79 degrees, sunny","3 mph, R to L"
47833,9/30/2018,1:12 PM,COL-Coors Fld,"52 degrees, partly cloudy","6 mph, R to L"
19690,9/30/2018,2:17 PM,KCR-KauffmanStad,"76 degrees, cloudy","11 mph, R to L"
36892,9/30/2018,12:09 PM,LAA-Angel Stad,"80 degrees, sunny","4 mph, Out to CF"
41848,9/30/2018,2:10 PM,MIL-Am Fam Field,"66 degrees, roof closed","0 mph, None"
30144,9/30/2018,2:13 PM,MIN-Target Field,"50 degrees, overcast","8 mph, Out to CF"
28346,9/30/2018,3:10 PM,NYM-Citi Field,"71 degrees, sunny","8 mph, Out to LF"
34202,9/30/2018,3:09 PM,PHI-CitizensBank,"74 degrees, sunny","5 mph, Out to CF"
31243,9/30/2018,12:11 PM,SDP-Petco Pk,"79 degrees, partly cloudy","4 mph, L to R"
21146,9/30/2018,12:10 PM,SEA-T-Mobile Pk,"65 degrees, cloudy","0 mph, Calm"
41280,9/30/2018,12:06 PM,SFG-Oracle Park,"68 degrees, partly cloudy","7 mph, Out to CF"
13313,9/30/2018,3:09 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
1,9/29/2018,4:07 PM,BAL-Camden Yards,"78 degrees, partly cloudy","7 mph, Out to RF"
26020,9/29/2018,7:38 PM,BAL-Camden Yards,"74 degrees, partly cloudy","3 mph, In from LF"
36375,9/29/2018,1:06 PM,BOS-Fenway Pk,"70 degrees, partly cloudy","8 mph, L to R"
40784,9/29/2018,12:05 PM,CHC-Wrigley Fld,"59 degrees, partly cloudy","7 mph, Calm"
42630,9/29/2018,4:10 PM,CIN-GreatAmer BP,"71 degrees, sunny","2 mph, Varies"
47781,9/29/2018,6:11 PM,COL-Coors Fld,"84 degrees, partly cloudy","5 mph, Out to LF"
23324,9/29/2018,6:16 PM,KCR-KauffmanStad,"72 degrees, cloudy","5 mph, R to L"
43762,9/29/2018,6:09 PM,LAA-Angel Stad,"73 degrees, clear","8 mph, Out to CF"
45520,9/29/2018,6:10 PM,MIL-Am Fam Field,"64 degrees, roof closed","0 mph, None"
32717,9/29/2018,6:10 PM,MIN-Target Field,"47 degrees, overcast","9 mph, In from CF"
43928,9/29/2018,7:12 PM,NYM-Citi Field,"69 degrees, cloudy","12 mph, In from LF"
30886,9/29/2018,7:09 PM,PHI-CitizensBank,"71 degrees, clear","7 mph, Out to RF"
28024,9/29/2018,5:40 PM,SDP-Petco Pk,"73 degrees, clear","9 mph, Out to RF"
31780,9/29/2018,6:11 PM,SEA-T-Mobile Pk,"67 degrees, cloudy","1 mph, In from CF"
41768,9/29/2018,1:06 PM,SFG-Oracle Park,"66 degrees, partly cloudy","12 mph, Out to CF"
13221,9/29/2018,6:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
18434,9/28/2018,7:08 PM,BAL-Camden Yards,"71 degrees, partly cloudy","2 mph, R to L"
36779,9/28/2018,7:11 PM,BOS-Fenway Pk,"60 degrees, cloudy","5 mph, In from RF"
39442,9/28/2018,1:21 PM,CHC-Wrigley Fld,"60 degrees, overcast","9 mph, L to R"
19689,9/28/2018,6:41 PM,CIN-GreatAmer BP,"71 degrees, clear","7 mph, R to L"
48089,9/28/2018,6:11 PM,COL-Coors Fld,"51 degrees, partly cloudy","7 mph, R to L"
15920,9/28/2018,7:15 PM,KCR-KauffmanStad,"57 degrees, partly cloudy","12 mph, L to R"
35041,9/28/2018,7:08 PM,LAA-Angel Stad,"70 degrees, clear","7 mph, Out to CF"
44770,9/28/2018,7:09 PM,MIL-Am Fam Field,"65 degrees, roof closed","0 mph, None"
20245,9/28/2018,1:10 PM,MIN-Target Field,"51 degrees, partly cloudy","14 mph, Out to LF"
28191,9/28/2018,7:10 PM,MIN-Target Field,"49 degrees, clear","13 mph, In from RF"
27045,9/28/2018,7:10 PM,NYM-Citi Field,"63 degrees, partly cloudy","7 mph, In from LF"
24306,9/28/2018,7:07 PM,PHI-CitizensBank,"66 degrees, cloudy","6 mph, Out to CF"
28055,9/28/2018,7:10 PM,SDP-Petco Pk,"69 degrees, clear","6 mph, Varies"
23598,9/28/2018,7:10 PM,SEA-T-Mobile Pk,"67 degrees, clear","0 mph, Calm"
41167,9/28/2018,7:20 PM,SFG-Oracle Park,"60 degrees, partly cloudy","14 mph, Out to CF"
12061,9/28/2018,7:09 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
38415,9/27/2018,7:03 PM,CHC-Wrigley Fld,"68 degrees, clear","7 mph, Out to CF"
36448,9/27/2018,1:12 PM,COL-Coors Fld,"74 degrees, partly cloudy","5 mph, L to R"
19262,9/27/2018,7:16 PM,KCR-KauffmanStad,"69 degrees, clear","2 mph, R to L"
22342,9/27/2018,7:13 PM,MIN-Target Field,"57 degrees, partly cloudy","8 mph, Out to LF"
24824,9/27/2018,7:10 PM,NYM-Citi Field,"69 degrees, cloudy","9 mph, In from RF"
15799,9/27/2018,7:10 PM,SEA-T-Mobile Pk,"67 degrees, clear","1 mph, Out to RF"
12349,9/27/2018,1:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
31149,9/26/2018,6:40 PM,ARI-Chase Field,"95 degrees, clear","5 mph, L to R"
33577,9/26/2018,1:06 PM,BOS-Fenway Pk,"83 degrees, partly cloudy","20 mph, Out to LF"
34445,9/26/2018,7:12 PM,BOS-Fenway Pk,"78 degrees, partly cloudy","16 mph, Out to LF"
32874,9/26/2018,7:05 PM,CHC-Wrigley Fld,"63 degrees, partly cloudy","3 mph, L to R"
25598,9/26/2018,7:11 PM,CHW-Guaranteed,"65 degrees, partly cloudy","9 mph, L to R"
12549,9/26/2018,6:41 PM,CIN-GreatAmer BP,"70 degrees, partly cloudy","6 mph, Out to CF"
35181,9/26/2018,6:41 PM,COL-Coors Fld,"71 degrees, partly cloudy","4 mph, In from RF"
35991,9/26/2018,7:07 PM,LAA-Angel Stad,"72 degrees, partly cloudy","7 mph, R to L"
21316,9/26/2018,7:12 PM,MIN-Target Field,"58 degrees, clear","9 mph, Out to LF"
23205,9/26/2018,7:10 PM,NYM-Citi Field,"77 degrees, partly cloudy","10 mph, Out to LF"
13727,9/26/2018,7:10 PM,SEA-T-Mobile Pk,"67 degrees, clear","0 mph, Calm"
36044,9/26/2018,7:15 PM,SFG-Oracle Park,"57 degrees, partly cloudy","12 mph, Out to CF"
40644,9/26/2018,6:10 PM,STL-Busch Stad 3,"68 degrees, partly cloudy","7 mph, L to R"
11325,9/26/2018,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
22828,9/26/2018,4:08 PM,TOR-Rogers Ctr,"66 degrees, partly cloudy","16 mph, L to R"
28680,9/26/2018,4:05 PM,WSN-Natls Park,"88 degrees, cloudy","6 mph, R to L"
25774,9/25/2018,6:40 PM,ARI-Chase Field,"95 degrees, clear","6 mph, Out to RF"
33443,9/25/2018,8:00 PM,CHC-Wrigley Fld,"67 degrees, rain","6 mph, Varies"
17040,9/25/2018,8:01 PM,CHW-Guaranteed,"67 degrees, overcast","8 mph, R to L"
13172,9/25/2018,6:43 PM,CIN-GreatAmer BP,"80 degrees, overcast","8 mph, R to L"
30217,9/25/2018,6:41 PM,COL-Coors Fld,"64 degrees, clear","3 mph, Out to CF"
36308,9/25/2018,7:09 PM,LAA-Angel Stad,"70 degrees, clear","5 mph, R to L"
23849,9/25/2018,7:10 PM,MIN-Target Field,"54 degrees, overcast","10 mph, Out to CF"
21943,9/25/2018,7:42 PM,NYM-Citi Field,"72 degrees, rain","8 mph, Out to LF"
12791,9/25/2018,7:10 PM,SEA-T-Mobile Pk,"62 degrees, partly cloudy","2 mph, Out to CF"
36063,9/25/2018,7:15 PM,SFG-Oracle Park,"56 degrees, clear","13 mph, Out to CF"
38051,9/25/2018,7:15 PM,STL-Busch Stad 3,"81 degrees, partly cloudy","8 mph, Out to RF"
10953,9/25/2018,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
28440,9/25/2018,7:09 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
26483,9/25/2018,7:05 PM,WSN-Natls Park,"78 degrees, partly cloudy","4 mph, Out to LF"
26067,9/24/2018,6:40 PM,ARI-Chase Field,"96 degrees, partly cloudy","7 mph, L to R"
35619,9/24/2018,7:12 PM,BOS-Fenway Pk,"56 degrees, cloudy","14 mph, In from RF"
34570,9/24/2018,7:05 PM,CHC-Wrigley Fld,"70 degrees, overcast","5 mph, R to L"
18217,9/24/2018,7:10 PM,CHW-Guaranteed,"70 degrees, overcast","5 mph, Varies"
30336,9/24/2018,6:41 PM,COL-Coors Fld,"73 degrees, partly cloudy","5 mph, In from CF"
29052,9/24/2018,7:09 PM,LAA-Angel Stad,"68 degrees, clear","8 mph, Out to CF"
16491,9/24/2018,7:10 PM,SEA-T-Mobile Pk,"60 degrees, clear","2 mph, L to R"
35428,9/24/2018,7:14 PM,SFG-Oracle Park,"58 degrees, partly cloudy","8 mph, Out to CF"
36508,9/24/2018,7:16 PM,STL-Busch Stad 3,"78 degrees, cloudy","5 mph, Out to LF"
13832,9/24/2018,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
23463,9/24/2018,7:08 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
22428,9/24/2018,7:06 PM,WSN-Natls Park,"63 degrees, rain","10 mph, In from RF"
29191,9/23/2018,1:10 PM,ARI-Chase Field,"75 degrees, roof closed","0 mph, None"
34214,9/23/2018,1:37 PM,ATL-Truist Pk,"84 degrees, partly cloudy","5 mph, In from RF"
39449,9/23/2018,1:11 PM,CHW-Guaranteed,"66 degrees, sunny","10 mph, Out to RF"
27879,9/23/2018,7:07 PM,CLE-Progressive,"68 degrees, clear","10 mph, In from RF"
24230,9/23/2018,1:10 PM,DET-Comerica Pk,"65 degrees, sunny","10 mph, L to R"
43247,9/23/2018,1:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
50250,9/23/2018,1:10 PM,LAD-Dodger Stad,"79 degrees, sunny","4 mph, Out to CF"
13595,9/23/2018,1:11 PM,MIA-loanDepot pk,"78 degrees, roof closed","0 mph, None"
43606,9/23/2018,1:08 PM,NYY-Yankee Stad3,"64 degrees, cloudy","9 mph, In from LF"
35754,9/23/2018,1:07 PM,OAK-Coliseum,"71 degrees, sunny","8 mph, Out to RF"
20623,9/23/2018,1:36 PM,PIT-PNC Pk,"66 degrees, sunny","3 mph, In from LF"
46596,9/23/2018,1:14 PM,STL-Busch Stad 3,"77 degrees, sunny","7 mph, Out to RF"
E=72 degrees,9/23/2018,2:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
23944,9/23/2018,1:07 PM,TOR-Rogers Ctr,"63 degrees, sunny","7 mph, R to L"
34218,9/23/2018,2:00 PM,WSN-Natls Park,"64 degrees, rain","7 mph, In from CF"
35094,9/22/2018,5:10 PM,ARI-Chase Field,"77 degrees, roof closed","0 mph, None"
35616,9/22/2018,1:06 PM,ATL-Truist Pk,"85 degrees, sunny","4 mph, R to L"
39724,9/22/2018,6:10 PM,CHW-Guaranteed,"61 degrees, clear","7 mph, L to R"
35095,9/22/2018,7:10 PM,CLE-Progressive,"62 degrees, cloudy","8 mph, In from RF"
24815,9/22/2018,6:10 PM,DET-Comerica Pk,"61 degrees, cloudy","5 mph, L to R"
41822,9/22/2018,6:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
53536,9/22/2018,6:10 PM,LAD-Dodger Stad,"76 degrees, clear","6 mph, Out to CF"
12559,9/22/2018,7:11 PM,MIA-loanDepot pk,"80 degrees, roof closed","0 mph, None"
40185,9/22/2018,4:09 PM,NYY-Yankee Stad3,"71 degrees, cloudy","10 mph, In from LF"
36731,9/22/2018,6:08 PM,OAK-Coliseum,"64 degrees, clear","12 mph, Out to RF"
23070,9/22/2018,7:05 PM,PIT-PNC Pk,"59 degrees, overcast","5 mph, In from CF"
45878,9/22/2018,12:07 PM,STL-Busch Stad 3,"62 degrees, cloudy","9 mph, L to R"
31158,9/22/2018,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
27648,9/22/2018,4:07 PM,TOR-Rogers Ctr,"59 degrees, sunny","6 mph, In from CF"
39372,9/22/2018,4:06 PM,WSN-Natls Park,"76 degrees, partly cloudy","13 mph, In from CF"
28833,9/21/2018,6:40 PM,ARI-Chase Field,"95 degrees, clear","4 mph, Varies"
34370,9/21/2018,7:36 PM,ATL-Truist Pk,"83 degrees, partly cloudy","4 mph, In from LF"
34027,9/21/2018,3:11 PM,CHW-Guaranteed,"74 degrees, cloudy","19 mph, Out to CF"
27892,9/21/2018,7:11 PM,CLE-Progressive,"78 degrees, partly cloudy","9 mph, L to R"
22001,9/21/2018,7:09 PM,DET-Comerica Pk,"79 degrees, partly cloudy","21 mph, Out to LF"
39977,9/21/2018,7:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
52458,9/21/2018,7:10 PM,LAD-Dodger Stad,"74 degrees, clear","4 mph, L to R"
11471,9/21/2018,7:11 PM,MIA-loanDepot pk,"77 degrees, clear","0 mph, None"
39903,9/21/2018,7:09 PM,NYY-Yankee Stad3,"73 degrees, cloudy","15 mph, R to L"
27558,9/21/2018,7:07 PM,OAK-Coliseum,"60 degrees, partly cloudy","12 mph, Out to RF"
19243,9/21/2018,7:06 PM,PIT-PNC Pk,"83 degrees, partly cloudy","15 mph, R to L"
45892,9/21/2018,7:17 PM,STL-Busch Stad 3,"72 degrees, overcast","15 mph, Out to RF"
29420,9/21/2018,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
21167,9/21/2018,7:08 PM,TOR-Rogers Ctr,"78 degrees, cloudy","19 mph, L to R"
37895,9/21/2018,7:05 PM,WSN-Natls Park,"75 degrees, partly cloudy","4 mph, R to L"
27474,9/20/2018,7:37 PM,ATL-Truist Pk,"84 degrees, partly cloudy","6 mph, In from LF"
19457,9/20/2018,7:10 PM,CLE-Progressive,"82 degrees, partly cloudy","12 mph, In from RF"
20282,9/20/2018,7:10 PM,DET-Comerica Pk,"75 degrees, cloudy","6 mph, In from CF"
9863,9/20/2018,7:11 PM,MIA-loanDepot pk,"77 degrees, roof closed","0 mph, None"
47351,9/20/2018,7:10 PM,NYY-Yankee Stad3,"69 degrees, cloudy","6 mph, R to L"
17217,9/20/2018,12:37 PM,OAK-Coliseum,"79 degrees, sunny","4 mph, Out to RF"
19478,9/20/2018,7:07 PM,TOR-Rogers Ctr,"68 degrees, roof closed","0 mph, None"
28358,9/20/2018,7:05 PM,WSN-Natls Park,"79 degrees, partly cloudy","9 mph, Out to LF"
25715,9/19/2018,6:40 PM,ARI-Chase Field,"76 degrees, roof closed","0 mph, None"
25195,9/19/2018,12:11 PM,ATL-Truist Pk,"86 degrees, sunny","3 mph, L to R"
11337,9/19/2018,7:08 PM,BAL-Camden Yards,"82 degrees, clear","3 mph, L to R"
18263,9/19/2018,7:10 PM,CLE-Progressive,"70 degrees, clear","6 mph, In from CF"
19296,9/19/2018,1:11 PM,DET-Comerica Pk,"71 degrees, partly cloudy","6 mph, In from LF"
31229,9/19/2018,7:11 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
50141,9/19/2018,7:10 PM,LAD-Dodger Stad,"72 degrees, clear","4 mph, Out to CF"
33443,9/19/2018,6:41 PM,MIL-Am Fam Field,"72 degrees, roof closed","0 mph, None"
43297,9/19/2018,7:09 PM,NYY-Yankee Stad3,"78 degrees, partly cloudy","8 mph, L to R"
16425,9/19/2018,7:06 PM,OAK-Coliseum,"70 degrees, clear","12 mph, Out to RF"
19085,9/19/2018,6:06 PM,PHI-CitizensBank,"83 degrees, clear","8 mph, In from CF"
13073,9/19/2018,7:08 PM,PIT-PNC Pk,"78 degrees, clear","6 mph, Out to CF"
31933,9/19/2018,6:11 PM,SDP-Petco Pk,"72 degrees, clear","10 mph, L to R"
25168,9/19/2018,1:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
26095,9/18/2018,6:40 PM,ARI-Chase Field,"78 degrees, roof closed","0 mph, None"
23083,9/18/2018,7:37 PM,ATL-Truist Pk,"85 degrees, clear","6 mph, Out to LF"
9096,9/18/2018,7:08 PM,BAL-Camden Yards,"84 degrees, clear","4 mph, In from LF"
19277,9/18/2018,7:11 PM,CLE-Progressive,"78 degrees, clear","3 mph, L to R"
19740,9/18/2018,7:10 PM,DET-Comerica Pk,"81 degrees, partly cloudy","7 mph, In from CF"
35715,9/18/2018,7:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
49537,9/18/2018,7:10 PM,LAD-Dodger Stad,"72 degrees, clear","2 mph, Out to CF"
7726,9/18/2018,7:10 PM,MIA-loanDepot pk,"78 degrees, roof closed","0 mph, None"
30366,9/18/2018,6:40 PM,MIL-Am Fam Field,"75 degrees, roof closed","0 mph, None"
38695,9/18/2018,7:08 PM,NYY-Yankee Stad3,"72 degrees, cloudy","5 mph, Out to RF"
15031,9/18/2018,7:07 PM,OAK-Coliseum,"58 degrees, clear","12 mph, Out to RF"
18895,9/18/2018,7:07 PM,PHI-CitizensBank,"75 degrees, clear","7 mph, R to L"
11566,9/18/2018,7:06 PM,PIT-PNC Pk,"80 degrees, partly cloudy","5 mph, Out to CF"
26285,9/18/2018,7:10 PM,SDP-Petco Pk,"72 degrees, clear","11 mph, L to R"
23523,9/18/2018,7:09 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
27662,9/17/2018,6:40 PM,ARI-Chase Field,"80 degrees, roof closed","0 mph, None"
24304,9/17/2018,7:36 PM,ATL-Truist Pk,"84 degrees, partly cloudy","5 mph, Out to LF"
8198,9/17/2018,7:35 PM,BAL-Camden Yards,"76 degrees, cloudy","2 mph, L to R"
19004,9/17/2018,7:10 PM,DET-Comerica Pk,"82 degrees, partly cloudy","6 mph, L to R"
43144,9/17/2018,7:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
45970,9/17/2018,7:10 PM,LAD-Dodger Stad,"74 degrees, clear","4 mph, Out to CF"
8440,9/17/2018,7:11 PM,MIA-loanDepot pk,"78 degrees, roof closed","0 mph, None"
32145,9/17/2018,6:41 PM,MIL-Am Fam Field,"85 degrees, clear","9 mph, In from LF"
21767,9/17/2018,7:06 PM,PHI-CitizensBank,"77 degrees, cloudy","6 mph, Out to CF"
10316,9/17/2018,7:07 PM,PIT-PNC Pk,"71 degrees, overcast","5 mph, In from LF"
23653,9/17/2018,7:10 PM,SDP-Petco Pk,"74 degrees, clear","13 mph, L to R"
21840,9/17/2018,7:08 PM,TEX-GlbLifeField,"72 degrees, dome","0 mph, None"
33403,9/16/2018,1:37 PM,ATL-Truist Pk,"77 degrees, partly cloudy","11 mph, Out to LF"
19104,9/16/2018,1:08 PM,BAL-Camden Yards,"76 degrees, partly cloudy","9 mph, R to L"
36526,9/16/2018,1:06 PM,BOS-Fenway Pk,"84 degrees, sunny","7 mph, In from RF"
41314,9/16/2018,1:21 PM,CHC-Wrigley Fld,"79 degrees, partly cloudy","7 mph, Out to LF"
24862,9/16/2018,1:10 PM,CLE-Progressive,"83 degrees, partly cloudy","11 mph, R to L"
37889,9/16/2018,1:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
20286,9/16/2018,1:15 PM,KCR-KauffmanStad,"88 degrees, partly cloudy","6 mph, R to L"
35578,9/16/2018,1:08 PM,LAA-Angel Stad,"83 degrees, sunny","8 mph, R to L"
32180,9/16/2018,1:11 PM,MIL-Am Fam Field,"77 degrees, sunny","6 mph, In from LF"
41758,9/16/2018,1:09 PM,NYY-Yankee Stad3,"84 degrees, sunny","10 mph, R to L"
30040,9/16/2018,1:39 PM,PHI-CitizensBank,"84 degrees, sunny","7 mph, R to L"
22242,9/16/2018,1:11 PM,SDP-Petco Pk,"81 degrees, sunny","8 mph, L to R"
38824,9/16/2018,1:05 PM,SFG-Oracle Park,"67 degrees, sunny","7 mph, Out to CF"
45217,9/16/2018,7:08 PM,STL-Busch Stad 3,"87 degrees, clear","5 mph, In from RF"
13197,9/16/2018,1:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
36050,9/15/2018,1:08 PM,ATL-Truist Pk,"90 degrees, sunny","7 mph, L to R"
23266,9/15/2018,7:08 PM,BAL-Camden Yards,"79 degrees, cloudy","2 mph, In from RF"
36611,9/15/2018,4:06 PM,BOS-Fenway Pk,"72 degrees, partly cloudy","9 mph, In from RF"
41196,9/15/2018,3:05 PM,CHC-Wrigley Fld,"78 degrees, sunny","7 mph, R to L"
26532,9/15/2018,3:10 PM,CLE-Progressive,"80 degrees, sunny","9 mph, In from RF"
38345,9/15/2018,6:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
19505,9/15/2018,6:16 PM,KCR-KauffmanStad,"89 degrees, clear","7 mph, R to L"
42292,9/15/2018,6:08 PM,LAA-Angel Stad,"83 degrees, clear","7 mph, R to L"
37358,9/15/2018,6:10 PM,MIL-Am Fam Field,"77 degrees, clear","6 mph, In from LF"
43130,9/15/2018,4:08 PM,NYY-Yankee Stad3,"82 degrees, partly cloudy","7 mph, R to L"
24695,9/15/2018,7:07 PM,PHI-CitizensBank,"76 degrees, partly cloudy","5 mph, In from CF"
28833,9/15/2018,5:42 PM,SDP-Petco Pk,"78 degrees, clear","11 mph, L to R"
38204,9/15/2018,6:05 PM,SFG-Oracle Park,"60 degrees, partly cloudy","17 mph, Out to CF"
45481,9/15/2018,12:07 PM,STL-Busch Stad 3,"88 degrees, sunny","6 mph, In from CF"
15154,9/15/2018,6:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
39268,9/14/2018,7:36 PM,ATL-Truist Pk,"87 degrees, clear","9 mph, Out to CF"
18265,9/14/2018,7:09 PM,BAL-Camden Yards,"75 degrees, cloudy","2 mph, Out to CF"
37117,9/14/2018,7:10 PM,BOS-Fenway Pk,"67 degrees, partly cloudy","6 mph, In from RF"
36468,9/14/2018,7:05 PM,CHC-Wrigley Fld,"74 degrees, clear","7 mph, R to L"
26952,9/14/2018,7:10 PM,CLE-Progressive,"76 degrees, partly cloudy","7 mph, In from CF"
36924,9/14/2018,7:10 PM,HOU-MinuteMaidPk,"73 degrees, roof closed","0 mph, None"
18389,9/14/2018,7:17 PM,KCR-KauffmanStad,"88 degrees, clear","1 mph, Calm"
39872,9/14/2018,7:08 PM,LAA-Angel Stad,"84 degrees, clear","7 mph, Out to RF"
39482,9/14/2018,7:11 PM,MIL-Am Fam Field,"74 degrees, clear","10 mph, In from CF"
40138,9/14/2018,7:09 PM,NYY-Yankee Stad3,"73 degrees, cloudy","13 mph, In from CF"
21671,9/14/2018,7:06 PM,PHI-CitizensBank,"74 degrees, cloudy","10 mph, R to L"
22740,9/14/2018,7:12 PM,SDP-Petco Pk,"75 degrees, clear","5 mph, Varies"
37800,9/14/2018,7:15 PM,SFG-Oracle Park,"60 degrees, cloudy","15 mph, Out to CF"
46036,9/14/2018,7:17 PM,STL-Busch Stad 3,"85 degrees, partly cloudy","4 mph, Out to LF"
11549,9/14/2018,7:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
11714,9/13/2018,7:08 PM,BAL-Camden Yards,"79 degrees, overcast","2 mph, Out to LF"
36427,9/13/2018,7:10 PM,BOS-Fenway Pk,"68 degrees, partly cloudy","6 mph, In from RF"
31783,9/13/2018,1:10 PM,COL-Coors Fld,"88 degrees, sunny","6 mph, Out to RF"
18745,9/13/2018,7:17 PM,KCR-KauffmanStad,"80 degrees, partly cloudy","8 mph, R to L"
33328,9/13/2018,7:09 PM,LAA-Angel Stad,"81 degrees, clear","6 mph, Out to RF"
1,9/13/2018,3:11 PM,NYM-Citi Field,"75 degrees, cloudy","9 mph, In from CF"
22640,9/13/2018,6:16 PM,NYM-Citi Field,"75 degrees, cloudy","9 mph, In from CF"
40997,9/13/2018,6:15 PM,STL-Busch Stad 3,"86 degrees, clear","3 mph, R to L"
30173,9/13/2018,4:05 PM,WSN-Natls Park,"78 degrees, partly cloudy","11 mph, In from RF"
10480,9/12/2018,7:08 PM,BAL-Camden Yards,"83 degrees, partly cloudy","2 mph, Out to CF"
35178,9/12/2018,7:10 PM,BOS-Fenway Pk,"68 degrees, cloudy","9 mph, In from CF"
40234,9/12/2018,7:07 PM,CHC-Wrigley Fld,"72 degrees, clear","4 mph, In from RF"
15633,9/12/2018,12:38 PM,CIN-GreatAmer BP,"74 degrees, cloudy","5 mph, In from LF"
31687,9/12/2018,6:41 PM,COL-Coors Fld,"91 degrees, clear","4 mph, Out to LF"
22666,9/12/2018,1:10 PM,DET-Comerica Pk,"71 degrees, partly cloudy","6 mph, L to R"
17840,9/12/2018,7:15 PM,KCR-KauffmanStad,"76 degrees, clear","8 mph, R to L"
33028,9/12/2018,7:10 PM,LAA-Angel Stad,"76 degrees, clear","7 mph, R to L"
24134,9/12/2018,7:10 PM,MIN-Target Field,"83 degrees, clear","12 mph, In from RF"
20423,9/12/2018,9:45 PM,NYM-Citi Field,"73 degrees, cloudy","8 mph, In from RF"
20258,9/12/2018,7:09 PM,PHI-CitizensBank,"77 degrees, cloudy","6 mph, R to L"
17164,9/12/2018,3:40 PM,SEA-T-Mobile Pk,"65 degrees, cloudy","1 mph, Out to LF"
38156,9/12/2018,12:45 PM,SFG-Oracle Park,"67 degrees, partly cloudy","16 mph, Out to CF"
39606,9/12/2018,12:15 PM,STL-Busch Stad 3,"76 degrees, partly cloudy","6 mph, R to L"
10654,9/12/2018,1:10 PM,TBR-TropicanaFld,"72 degrees, dome","0 mph, None"
9141,9/11/2018,7:10 PM,BAL-Camden Yards,"73 degrees, overcast","4 mph, L to R"
34747,9/11/2018,7:12 PM,BOS-Fenway Pk,"68 degrees, cloudy","7 mph, In from RF"
37017,9/11/2018,7:06 PM,CHC-Wrigley Fld,"68 degrees, clear","8 mph, R to L"
14964,9/11/2018,6:41 PM,CIN-GreatAmer BP,"69 degrees, cloudy","3 mph, L to R"
26510,9/11/2018,6:43 PM,COL-Coors Fld,"87 degrees, partly cloudy","7 mph, Out to CF"
19432,9/11/2018,6:41 PM,DET-Comerica Pk,"72 degrees, clear","6 mph, In from LF"
17613,9/11/2018,7:17 PM,KCR-KauffmanStad,"77 degrees, clear","8 mph, L to R"
33756,9/11/2018,7:07 PM,LAA-Angel Stad,"72 degrees, clear","8 mph, R to L"
20343,9/11/2018,7:17 PM,MIN-Target Field,"82 degrees, partly cloudy","20 mph, R to L"
20849,9/11/2018,7:12 PM,NYM-Citi Field,"73 degrees, cloudy","4 mph, In from RF"
1,9/11/2018,3:07 PM,PHI-CitizensBank,"76 degrees, cloudy","3 mph, In from CF"
19630,9/11/2018,7:16 PM,PHI-CitizensBank,"74 degrees, cloudy","4 mph, Out to LF"
13833,9/11/2018,7:10 PM,SEA-T-Mobile Pk,"64 degrees, partly cloudy","1 mph, Out to LF"
35285,9/11/2018,7:15 PM,SFG-Oracle Park,"62 degrees, clear","15 mph, Out to CF"
37187,9/11/2018,7:16 PM,STL-Busch Stad 3,"76 degrees, clear","3 mph, In from RF"
